Badge Name,description
Famous Question,Question with 10000 views
Fanatic,Visit the site each day for 100 consecutive days
Great Answer,Answer score of 100 or more
Necromancer,Answer a question more than 60 days later with score of 5 or more
Notable Question,Question with 2500 views
Yearling,Active member for a year earning at least 200 reputation
Student,First question with score of 1 or more
Editor,First edit
Popular Question,Question with 1000 views
