Badge Name,Rank,Percentage of badges awarded in this rank,description
Student,bronze,9.67,First question with score of 1 or more
Necromancer,silver,8.26,Answer a question more than 60 days later with score of 5 or more
Famous Question,gold,72.85,Question with 10000 views
